6.1477,881
4.6469,2753
4.6255,2423
2.8595,855
2.382,1659
2.2768,22
2.2497,1073
2.2177,1918
1.6484,525
1.6324,1461
1.587,191
1.5394,2188
1.4578,2637
1.395,2619
1.3505,87
1.3096,1639
1.0576,2272
1.0202,2294
1.0102,597
0.96059,669
0.95905,2450
0.89192,2581
0.87073,1810
0.83985,2061
0.83242,2420
0.79194,2751
0.77471,2466
0.76834,407
0.70942,2446
0.63856,1183
0.60388,741
0.54669,1913
0.53155,2334
0.37347,1847
0.33562,2417
0.2889,1635
-0.00339,2744
-0.14549,1027
-0.35318,1617
-0.48739,2587
-0.50335,1537
-0.79918,2284
-1.1563,1616
-4.7939,1248
