3.5835,1248
2.531,1616
1.3875,2587
1.3201,1617
1.2402,2417
1.1771,2284
1.1484,1913
1.1319,2446
1.1162,1537
1.1031,2061
1.0439,855
1.0429,1027
0.98984,2272
0.91713,1461
0.9101,87
0.90384,2334
0.89234,2619
0.88854,741
0.86295,2744
0.86262,191
0.84846,597
0.84783,1635
0.81141,525
0.78681,2751
0.77108,1183
0.72912,1810
0.71427,1659
0.70605,2466
0.70414,2637
0.70358,2450
0.69637,2420
0.66142,2294
0.65612,1639
0.64857,2581
0.64104,669
0.55336,407
0.4295,1847
0.30207,1918
0.29157,2188
-0.34792,22
-0.83306,1073
-1.0446,2423
-1.224,881
-2.447,2753
